event_id,title,date_start,date_end,city,location_name,category,description,url
20149884,"ARCHI-APÉRO #20 I Elles construisent, elles transforment : le féminisme en chantier",2026-03-19 17:00:00+00:00,2026-03-19 20:00:00+00:00,Lille,Bazaar St-So,"archi-apéro, architecture, femmes, métier, égalité, genres, rencontre, coférences","Un échange sur les enjeux d’égalité des chances entre les femmes et les hommes dans les métiers de l’architecture avec Anne Labroille, architecte-urbaniste et La Veille, association d’étudiant·es.",
36559078,Rencontre aperitivo autour du Prix Wicar,2026-03-19 17:00:00+00:00,2026-03-19 18:30:00+00:00,Lille,Espace Le Carré,,Un temps d’échange avec les artistes du Prix Wicar,
97454349,Cardinals en concert,2026-03-19 19:00:00+00:00,2026-03-19 22:00:00+00:00,Lille,L'Aéronef,,Le rock indé de Cardinals au Club de L'Aéronef !,
59160258,Improvisation avec les Illico's,2026-03-19 19:00:00+00:00,2026-03-19 21:00:00+00:00,Lille,le musical,,Les Illico's seront chauds pour vous faire marrer tout au long de la soirée 😉 Les matchs d'impro se passent soit un individuel soit en équipes avec des thèmes aussi riches que variés.,
59659924,L'Âme de l'A – Compagnie Enjeu Majeur,2026-03-19 19:00:00+00:00,2026-03-19 20:10:00+00:00,Lille,Le Grand Sud,,"L’A, une tour HLM vouée à la destruction, voit revenir des enfants curieux à la recherche d’un passage qui les fera grandir. Un spectacle sur la rénovation urbaine et le passage à l'adolescence.",
13415641,"Concert : THAHOMEY, BABY NEELOU, RONY, IGO, ZÉPHIR, YAY",2026-03-19 19:00:00+00:00,2026-03-19 22:00:00+00:00,Lille,FLOW - Centre Eurorégional des Cultures Urbaines,,Les bénéfices de cette soirée seront reversés à l'association Utopia 56,
16902194,"Ciné-concert 360° NORD - L'hybride, Lille",2026-03-19 19:30:00+00:00,2026-03-19 21:30:00+00:00,Lille,L'hybride,,360° NORD est un ciné-concert né de la rencontre de la compositrice Carla Pallone avec le travail de la pionnière Anita Conti et de son livre et film éponyme Racleurs d’océan (1953).,
29527687,Atelier Théâtre Ouvert sur la marionnette,2026-03-20 16:30:00+00:00,2026-03-20 19:30:00+00:00,Lille,Ateliers Théâtre,,Une initiation à la diversité des arts de la marionnette,
40012127,Vendredi Si Ça Vous Dit : BROAM,2026-03-20 18:00:00+00:00,2026-03-20 20:00:00+00:00,Lille,Faubourg des Musiques,,"Benjamin Mathieu présente son projet BROAM à cette édition de Vendredi Si Ça Vous Dit au Faubourg des Musiques, dans un style mêlant indie folk et électronique.",
2606380,Le Journal - Pauline Le Pichon,2026-03-20 18:00:00+00:00,2026-03-20 21:30:00+00:00,Lille,Espace Edouard Pignon,,"Pauline le Pichon joue avec les codes de la photographie et détourne ceux du journal intime. Elle nous présente des images de sa série "" Le Journal "" composée de 500 portraits.",
84474127,Lucienne Eden ou l'Île perdue – Compagnie Hautblique,2026-03-20 18:30:00+00:00,2026-03-20 19:40:00+00:00,Lille,maison Folie Wazemmes,,"Une île, une enfant insolente et un naufragé : ""Lucienne Eden ou l'Île perdue"" mêle aventure et poésie et plonge petits et grands dans un voyage engagé pour l'écologie et le réchauffement climatique.",
56799796,A.N.G.S.T ~ Cie La main de l'homme,2026-03-20 19:00:00+00:00,2026-03-20 20:00:00+00:00,Lille,Le Grand Bleu,,"Un acrobate en équilibre sur un grand fil joue à se faire peur, et l’on découvre que la peur peut être contagieuse ! Quelle est donc cette étrange maladie ?",
77950178,Blind test by Victor,2026-03-20 19:00:00+00:00,2026-03-20 22:00:00+00:00,Lille,le musical,blind test,C'est Victor qui s'y colle et te propose un blind test spécial moyens de locomotion. C'est toujours gratos et il y aura des goodies à gagner 😉,
60360,Les Enfants terribles,2026-03-20 19:00:00+00:00,2026-03-20 20:40:00+00:00,Lille,Opéra,,Philip Glass,
437967,Cerbère Coryphée présente : EYES + Split + Hank is Dead,2026-03-20 19:00:00+00:00,2026-03-20 22:59:00+00:00,Lille,La malterie,,"Le 20 mars 2026, Cerbère Coryphée et la malterie accueillent une soirée hardcore sans concession.",
28137159,Stereolab en concert,2026-03-20 19:00:00+00:00,2026-03-20 22:00:00+00:00,Lille,L'Aéronef,,"Entre nappes de synthé et guitares fougueuses, entre transe krautrock et expérimentations pop : Stereolab !",
95134733,"Ciné-rencontre : Pas comme des loups - L'hybride, Lille",2026-03-20 19:30:00+00:00,2026-03-20 21:30:00+00:00,Lille,L'hybride,,Moyen métrage et rencontre,
22076027,Natacha Tertone (Release Party) + Isaakians + Bangoschk,2026-03-20 20:00:00+00:00,2026-03-20 22:59:00+00:00,Lille,Le Bistrot de St So,,"Vendredi 20 mars (21h–2h, gratuit) : Natacha Tertone en release party, Isaakians en live et DJ set de Bangoschk. Alt-pop et avant-pop entre émotion, électro et dancefloor. 🧡",
81152268,C'est le Printemps des poètes !,2026-03-21 09:00:00+00:00,2026-03-21 10:00:00+00:00,Lille,Médiathèque de Wazemmes,,"Atelier de lecture poétique en famille (dès 3 ans), avec l'association Du Vent dans les Mots et la poétesse Marcella, venez fêter la poésie dans les médiathèques lilloises.",
57162375,Impression d'un bouquet de fleurs,2026-03-21 09:30:00+00:00,2026-03-21 11:00:00+00:00,Lille,Musée de l'Hospice Comtesse,,L'atelier des petites mains sous le signe du printemps.,
75167932,"Mon premier imagier photo, de la médiathèque !",2026-03-21 09:30:00+00:00,2026-03-21 11:00:00+00:00,Lille,Médiathèque Jean Lévy,,"Atelier avec Nathalie Seroux, autrice de la collection ""Mon premier imagier photo"", édition La Martinière",
46004740,Petit pas dans les pages,2026-03-21 09:45:00+00:00,2026-03-21 10:15:00+00:00,Lille,médiathèque du Vieux-Lille,,"La médiathèque invite les tout-petits à vivre les histoires autrement : en bougeant, sautant et explorant !",
8131277,"Court-spectacle ""Les 3 petites ourses""",2026-03-21 10:00:00+00:00,2026-03-21 10:30:00+00:00,Lille,médiathèque de Moulins,,"Une bulle artistique proposée par les musiciens, comédiens, danseurs intervenants du conservatoire.",
76854753,Stage adulte - Illustrator,2026-03-21 13:00:00+00:00,2026-03-21 16:00:00+00:00,Lille,Centre d'Arts Plastiques et Visuels,,Initiez-vous au logiciel Illustrator !,
50441013,"Mon premier imagier photo, de la médiathèque !",2026-03-21 14:30:00+00:00,2026-03-21 16:00:00+00:00,Lille,Médiathèque de Wazemmes,,"Atelier avec Nathalie Seroux, autrice de la collection ""Mon premier imagier photo"", édition La Martinière",
54702078,C'est le Printemps des poètes !,2026-03-21 15:00:00+00:00,2026-03-21 16:00:00+00:00,Lille,"Maison du projet ""En attendant la médiathèque""",,"Atelier de lecture poétique pour les enfants de 6 à 10 ans, avec l'association Du Vent dans les Mots et la poétesse Marcella, venez fêter la poésie dans les médiathèques lilloises.",
57720789,YOA en concert,2026-03-21 19:00:00+00:00,2026-03-21 22:00:00+00:00,Lille,L'Aéronef,,La pop de Yoa à L'Aéronef !,
68426899,Karaoké,2026-03-21 19:00:00+00:00,2026-03-21 22:30:00+00:00,Lille,le musical,karaoké,C'est dans un ambiance montée à bloc que ton Musical te propose de venir t'essayer au karaoké !,
32013357,V.I.N.C.E. B2B R.O.X.X.,2026-03-21 20:00:00+00:00,2026-03-21 22:59:00+00:00,Lille,Le Bistrot de St So,,"Samedi 21 mars • V.I.N.C.E B2B R.O.X.X House → Techno, 21h–2h, gratuit 🔥 Ouverture 18h, restauration 19h–22h. Un B2B puissant pour faire vibrer le dancefloor 🎧",
1328267,PANIQUE !!,2026-03-22 10:00:00+00:00,2026-03-22 10:45:00+00:00,Lille,La gare Saint Sauveur,,Un ciné-concert par Temps Calme,
11634857,Les Enfants terribles : écoute commentée,2026-03-22 13:00:00+00:00,2026-03-22 14:00:00+00:00,Lille,Opéra,,Découvrez l'opéra de Philip Glass !,
2816901,BOULI LANNERS EN 2 FILMS,2026-03-22 14:00:00+00:00,2026-03-22 17:25:00+00:00,Lille,La gare Saint Sauveur,,"Coup de projecteur sur Bouli Lanners, figure incontournable du cinéma belge contemporain, dont les films mêlent humour discret, errances et profonde humanité.",
62958584,"Lille, terre de tournages",2026-03-22 14:00:00+00:00,2026-03-22 15:30:00+00:00,Lille,"Devant la Vieille Bourse Devant la Vieille Bourse, entrée côté Grand'Place",,Quand le patrimoine rencontre les tournages de séries ...,
84902640,[Muzzix] LUN19h | OKKIO! & Veillée haut-parlante,2026-03-23 18:00:00+00:00,2026-03-23 22:00:00+00:00,Lille,La malterie,,"Tous les lundis à 19h, les musicien.nes du collectif Muzzix laissent libre cours à leur imagination pour proposer au public une expérience sonore aventureuse.",
70097668,Tournoi de belotte,2026-03-24 17:00:00+00:00,2026-03-24 21:30:00+00:00,Lille,le musical,,"On se lance un petit tournoi à l'ancienne de belotte C'est gratuit, pour le plaisir de jouer et si tu es solo on te trouvera un partenaire pour la soirée Il y aura évidements des goodies à gagner.",
29790412,Portrait au fusain !,2026-03-24 17:00:00+00:00,2026-03-24 19:00:00+00:00,Lille,Musée de l'Hospice Comtesse,,Réveillez l'artiste qui sommeille en vous lors de nos stages de pratiques artistiques.,
55338229,Concert d'orchestre d'harmonie,2026-03-24 18:00:00+00:00,2026-03-24 19:00:00+00:00,Lille,Auditorium du Conservatoire de Lille,,Par l'orchestre d'harmonie Robert Lannoy,
67009618,Cosmos | Mahamat | Cie La Main de l’Homme,2026-03-24 19:00:00+00:00,2026-03-24 21:00:00+00:00,Lille,le Prato - Pôle National Cirque - Lille,,"1 soirée, 2 spectacles - en coréalisation avec le Gymnase, dans le cadre du festival le Grand Bain",
32815676,Création de poésie à hauteur des tout-petits / Atelier participatif autour des tapis sensoriels,2026-03-25 09:00:00+00:00,2026-03-25 11:00:00+00:00,Lille,BAZAAR ST-SO,,Dans le cadre de la semaine de la petite enfance,
61761719,C'est le Printemps des poètes !,2026-03-25 09:00:00+00:00,2026-03-25 10:00:00+00:00,Lille,médiathèque du Vieux-Lille,,"Atelier de lecture poétique pour les enfants de 3 à 6 ans, avec l'association Du Vent dans les Mots et la poétesse Marcella, venez fêter la poésie dans les médiathèques lilloises.",
4585193,Création d’instruments de musique recyclés et recyclables / Atelier participatif autour des tapis sensoriels,2026-03-25 13:00:00+00:00,2026-03-25 15:00:00+00:00,Lille,BAZAAR ST-SO,,Dans le cadre de la semaine de la petite enfance,
26542891,Le cinéma s'invite à la Micro-Folie !,2026-03-25 13:00:00+00:00,2026-03-25 17:00:00+00:00,Lille,Maison Folie Moulins,,"À l'occasion de la Fête du court métrage, la Micro-Folie propose un après-midi de courts métrages pour toute la famille et des ateliers pour découvrir les techniques d'animation & les métiers du son.",
64420292,Souvenirshop ~ BRONKS & Not Standing (Belgique) - Alexander Vantournhout,2026-03-25 14:00:00+00:00,2026-03-25 14:45:00+00:00,Lille,Le Grand Bleu,,"Les habits, c’est juste pour s’habiller ? Pas pour ce danseur-acrobate qui a trouvé ses vêtements dans des boutiques de souvenirs.",
8879700,"Flaque, pourvu qu'il pleuve – Cie Les Ateliers de Pénélope & le collectif l a c a v a l e",2026-03-25 15:00:00+00:00,2026-03-25 16:00:00+00:00,Lille,Le Grand Sud,,"Théâtre et jeux d’eau s’unissent dans une ode à la pluie, mêlant relaxation, fête et douceur. Un spectacle sensoriel et ludique à vivre en famille.",
1183861,"Conférence - « Art et identités queer : représentation, luttes et imaginaires LGBTQIA+ » par Rossella Piccinno (Hors les murs)",2026-03-25 17:30:00+00:00,2026-03-25 19:30:00+00:00,Lille,Auberge de la maison Folie Wazemmes,,Rendez-vous le mercredi 25 mars à l'auberge de la maison Folie Wazemmes,
63624552,Les Mercredis Blindtest à St So !,2026-03-25 19:00:00+00:00,2026-03-25 22:30:00+00:00,Lille,Le Bistrot de St So,,"On joue, on chante, on crie (souvent faux) et on rigole. Animateur·rice différent·e chaque semaine, snack maison, zéro pression. Viens avec qui tu veux !",
84261922,"JOURNÉE PROFESSIONNELLE ""Discours croisés : place des femmes et dialogue entre disciplines artistiques autour de l'art urbain""",2026-03-26 08:00:00+00:00,2026-03-26 16:30:00+00:00,Lille,Le Flow,,"Le Flow, le collectif Renart et la Fédération de l’Art Urbain proposent un temps de rencontres autour de l’art urbain, le jeudi 26 mars à Lille.",
12989774,Prendre de la hauteur,2026-03-26 16:30:00+00:00,2026-03-26 17:30:00+00:00,Lille,Palais des Beaux-Arts de Lille,,Profitez d'un moment exclusif au moment où le musée ferme ses portes.,
41217258,Biga*Ranx en concert,2026-03-26 19:00:00+00:00,2026-03-26 22:00:00+00:00,Lille,L'Aéronef,,Biga*Ranx de retour à Lille.,
11494446,Danses vagabondes – Louise Lecavalier,2026-03-26 19:00:00+00:00,2026-03-26 20:10:00+00:00,Lille,maison Folie Wazemmes,,"Danseuse hors norme à la carrière colossale, Louise Lecavalier revient à l'essentiel avec ""Danses vagabondes"" : un spectacle de danse instinctif et précis, libre, jaillissant et magnétique.",
34595187,"La Fête du court métrage : Le rire dans les années 60 - L'hybride, Lille",2026-03-26 19:30:00+00:00,2026-03-26 21:30:00+00:00,Lille,L'hybride,,La Fête du court métrage s’invite à L’hybride avec 3 rendez-vous pour célébrer le format court.,
90982285,Fête du slip @ Le Musical: Knup + Modest model,2026-03-27 19:00:00+00:00,2026-03-27 22:30:00+00:00,Lille,le musical,,"Initié par l’association « Le Car Podium », cet événement festif et solidaire a pour objectif de collecter un maximum de sous-vêtements neufs, au profit des personnes accompagnées par le Samu Social.",
42624392,La Fête du court métrage : En haut de l’affiche,2026-03-27 19:30:00+00:00,2026-03-27 21:30:00+00:00,Lille,L'hybride,,La Fête du court métrage s’invite à L’hybride avec 3 rendez-vous pour célébrer le format court.,
16914939,Wild Animal + Butera + Dawntone,2026-03-27 20:00:00+00:00,2026-03-27 22:59:00+00:00,Lille,Le Bistrot de St So,,"Wild Animal (electro), Butera (indie rock) et Dawntone (wild folk). Trois univers entre guitares intenses et textures électroniques. Concerts dès 21h, entrée gratuite. 🎶",
2385621,Atelier sérigraphie avec AMOSE,2026-03-28 09:00:00+00:00,2026-03-28 11:00:00+00:00,Lille,Archives municipales de Lille,,"Imprime le passé, et redécouvre les anciens cinémas lillois !",
85434785,"Spécial Kids : La Fête du court métrage - Mon jardin merveilleux - L'hybride, Lille",2026-03-28 09:30:00+00:00,2026-03-28 10:30:00+00:00,Lille,L'hybride,,La Fête du court métrage s’invite à L’hybride avec 3 rendez-vous pour célébrer le format court.,
17425990,Visite de l'Opéra de Lille,2026-03-28 10:00:00+00:00,2026-03-28 11:00:00+00:00,Lille,Opéra,,Histoire d'hier et d'aujourd'hui,
27396954,"Court-spectacle ""Les 3 petites ourses""",2026-03-28 10:00:00+00:00,2026-03-28 10:30:00+00:00,Lille,"Maison du projet ""En attendant la médiathèque""",,"Une bulle artistique proposée par les musiciens, comédiens, danseurs intervenants du conservatoire.",
56733885,WEMFAL 2026 - Week-end de modélisme ferroviaire à Lille,2026-03-28 12:00:00+00:00,2026-03-28 18:00:00+00:00,Lille,Gare Saint Sauveur,,"Après plusieurs années au Palais Rameau de Lille, le salon du modélisme ferroviaire WEMFAL débarque à la Gare Saint Sauveur !",
